epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.273,1.44813,1.06758,0.96279,0.89401,0.74783,0.93282,0.60451,1.16822,1.1637,1.04946,0.000361301,0.000361301,0.000361301
2,471.315,1.01444,0.58528,0.8523,0.98467,0.99978,0.995,0.79045,0.79246,0.54102,0.86344,0.000726805,0.000726805,0.000726805
3,744.379,0.92244,0.51002,0.83831,0.99079,0.9936,0.995,0.81911,0.76758,0.47426,0.85294,0.00108742,0.00108742,0.00108742
4,997.42,0.86422,0.4715,0.83169,0.99313,0.99441,0.995,0.82011,0.72739,0.42809,0.84432,0.001089,0.001089,0.001089
5,1197.26,0.83936,0.45126,0.82796,0.98945,0.99573,0.995,0.82233,0.70891,0.41235,0.84051,0.00108167,0.00108167,0.00108167
6,1393.44,0.80604,0.4326,0.82402,0.98914,0.99371,0.995,0.80729,0.70906,0.4066,0.838,0.00107434,0.00107434,0.00107434
7,1615.39,0.79781,0.41989,0.82496,0.98993,0.99675,0.995,0.82153,0.6806,0.39132,0.83424,0.001067,0.001067,0.001067
8,1836.04,0.80841,0.42421,0.82659,0.98675,0.99673,0.995,0.8298,0.7022,0.41099,0.83862,0.00105967,0.00105967,0.00105967
9,2050.3,0.78923,0.40542,0.82249,0.99046,0.99536,0.995,0.80446,0.7349,0.38156,0.8432,0.00105234,0.00105234,0.00105234
10,2287.41,0.77706,0.3971,0.8195,0.99096,0.9974,0.995,0.82657,0.70941,0.37915,0.83843,0.00104501,0.00104501,0.00104501
11,2499.33,0.77504,0.39468,0.82315,0.9922,0.99998,0.995,0.82449,0.6915,0.35894,0.8347,0.00103767,0.00103767,0.00103767
12,2792.22,0.76204,0.39375,0.81758,0.98898,0.99804,0.995,0.82557,0.69114,0.35893,0.8369,0.00103034,0.00103034,0.00103034
13,3006.28,0.76436,0.38938,0.81699,0.99065,0.99453,0.995,0.81518,0.66994,0.3663,0.83186,0.00102301,0.00102301,0.00102301
14,3248.31,0.75407,0.38312,0.81768,0.99218,0.99894,0.995,0.82235,0.66099,0.35396,0.83136,0.00101568,0.00101568,0.00101568
15,3575.58,0.7449,0.37484,0.81563,0.99306,0.99856,0.995,0.80943,0.68684,0.35048,0.83374,0.00100834,0.00100834,0.00100834
16,3895.4,0.75148,0.3725,0.81504,0.99056,1,0.995,0.81121,0.65749,0.33906,0.8315,0.00100101,0.00100101,0.00100101
17,4242.11,0.73215,0.36586,0.81401,0.99268,0.99688,0.995,0.82158,0.67787,0.34333,0.83362,0.000993678,0.000993678,0.000993678
18,4518.85,0.73251,0.36421,0.81745,0.99383,1,0.995,0.82558,0.65922,0.34873,0.83262,0.000986346,0.000986346,0.000986346
19,4776.22,0.73341,0.36862,0.81665,0.99303,1,0.995,0.84573,0.68328,0.35375,0.83409,0.000979013,0.000979013,0.000979013
20,5032.04,0.74543,0.37477,0.81516,0.99185,0.99805,0.995,0.8306,0.68137,0.33844,0.8339,0.000971681,0.000971681,0.000971681
