epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.652,1.758,3.13025,1.76412,0.82169,0.01944,0.1103,0.0544,1.42225,3.1903,1.55057,0.000360588,0.000360588,0.000360588
2,608.392,1.41147,2.11178,1.55388,0.42917,0.59418,0.58396,0.39215,1.50602,3.00118,1.64065,0.00065856,0.00065856,0.00065856
3,971.554,1.3454,1.81135,1.50665,0.39598,0.67921,0.55521,0.35866,1.32621,2.03824,1.47797,0.000883206,0.000883206,0.000883206
4,1310.31,1.30462,1.71049,1.45481,0.65902,0.79782,0.7836,0.51879,1.13229,1.5768,1.32237,0.000781033,0.000781033,0.000781033
5,1595.7,1.24825,1.53377,1.39543,0.68509,0.77448,0.75424,0.53865,1.10944,1.28976,1.33382,0.000671044,0.000671044,0.000671044
6,1928.92,1.2217,1.46311,1.38878,0.81646,0.83382,0.91198,0.65173,1.05256,1.22458,1.32502,0.000561055,0.000561055,0.000561055
7,2267.48,1.16615,1.37116,1.36245,0.90268,0.8586,0.95329,0.67708,0.97618,1.06596,1.26651,0.000451066,0.000451066,0.000451066
8,2587.39,1.12548,1.32134,1.34762,0.90702,0.86483,0.95721,0.67062,0.95391,1.03482,1.24311,0.000341077,0.000341077,0.000341077
9,2922.56,1.10634,1.24723,1.31096,0.93721,0.93532,0.96074,0.71113,0.88183,0.94511,1.18786,0.000231088,0.000231088,0.000231088
10,3212.45,1.0612,1.19152,1.29186,0.90237,0.95036,0.95924,0.72968,0.79795,0.89227,1.15781,0.000121099,0.000121099,0.000121099
