epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.99,1.77758,3.33148,1.8008,0.01346,0.5394,0.31058,0.19893,1.4096,3.29941,1.46408,0.000360588,0.000360588,0.000360588
2,630.625,1.41235,2.3577,1.55418,0.46141,0.43346,0.48944,0.33284,1.39035,3.41433,1.60995,0.000716449,0.000716449,0.000716449
3,962.435,1.29141,2.04333,1.51187,0.50015,0.67508,0.56527,0.37727,1.28066,2.95801,1.47736,0.00105764,0.00105764,0.00105764
4,1258.93,1.24398,1.89891,1.4403,0.83241,0.63191,0.75118,0.51321,1.34326,1.81371,1.40116,0.00104501,0.00104501,0.00104501
5,1547.6,1.14852,1.72605,1.3309,0.8377,0.5668,0.69833,0.47331,1.44134,1.87322,1.52196,0.00102301,0.00102301,0.00102301
6,1825.42,1.06121,1.65997,1.26652,0.72599,0.74937,0.80826,0.55917,1.08373,1.52406,1.25138,0.00100101,0.00100101,0.00100101
7,2106.11,0.977,1.55241,1.20474,0.85305,0.80065,0.86219,0.62344,0.88105,1.62231,1.16159,0.000979013,0.000979013,0.000979013
8,2405.99,0.93044,1.48384,1.16017,0.75356,0.79571,0.82387,0.59598,0.86221,1.2379,1.15325,0.000957015,0.000957015,0.000957015
9,2700.97,0.90352,1.41608,1.1449,0.78186,0.71055,0.79313,0.60634,0.78004,1.33107,1.04765,0.000935018,0.000935018,0.000935018
10,3044.72,0.85194,1.3727,1.11376,0.88651,0.72039,0.83963,0.62819,0.79586,1.06536,1.03779,0.00091302,0.00091302,0.00091302
11,3358.07,0.80089,1.30294,1.10721,0.86156,0.70566,0.79001,0.60142,0.73577,1.03893,1.01292,0.000891022,0.000891022,0.000891022
12,3673.8,0.80104,1.28733,1.08333,0.79981,0.85421,0.87684,0.68007,0.69524,1.06723,0.99731,0.000869024,0.000869024,0.000869024
13,3993.05,0.78531,1.24456,1.08289,0.82779,0.92953,0.92793,0.7177,0.71691,0.80627,1.01524,0.000847026,0.000847026,0.000847026
14,4299.26,0.75523,1.19598,1.05418,0.86221,0.80032,0.88856,0.69298,0.67194,0.8265,0.98759,0.000825029,0.000825029,0.000825029
15,4635.28,0.77688,1.18719,1.04422,0.89358,0.78035,0.91007,0.70144,0.64742,1.07913,1.0038,0.000803031,0.000803031,0.000803031
16,5011.54,0.74033,1.15251,1.05024,0.86977,0.81096,0.89843,0.70911,0.66653,1.02572,0.98249,0.000781033,0.000781033,0.000781033
17,5358.78,0.72269,1.11508,1.04542,0.90634,0.76927,0.88012,0.69753,0.63441,0.86127,0.96965,0.000759035,0.000759035,0.000759035
18,5796.57,0.71735,1.08934,1.03505,0.87107,0.88527,0.92056,0.71861,0.62842,0.77054,0.95141,0.000737037,0.000737037,0.000737037
19,6676.75,0.70647,1.06125,1.02125,0.72865,0.73485,0.75961,0.59893,0.64181,0.91537,0.96072,0.00071504,0.00071504,0.00071504
20,7069.18,0.68359,0.99981,1.00396,0.92181,0.85057,0.91532,0.72747,0.6126,0.83373,0.96619,0.000693042,0.000693042,0.000693042
21,7434.93,0.67098,1.00755,1.0263,0.92032,0.9132,0.95722,0.75255,0.64054,0.75887,0.96183,0.000671044,0.000671044,0.000671044
22,7846.55,0.66981,1.01659,1.01993,0.96294,0.81741,0.94616,0.78004,0.56936,0.66136,0.93988,0.000649046,0.000649046,0.000649046
23,8167.61,0.67271,1.00068,1.01911,0.83361,0.88192,0.91218,0.75193,0.64257,0.7135,0.96412,0.000627048,0.000627048,0.000627048
24,8452.26,0.65241,0.96775,1.01245,0.94193,0.86766,0.9532,0.7905,0.56622,0.59388,0.9314,0.000605051,0.000605051,0.000605051
25,8768.55,0.63806,0.93842,1.00165,0.94535,0.90478,0.95907,0.76078,0.61917,0.63698,0.92873,0.000583053,0.000583053,0.000583053
26,9062.13,0.6543,0.918,1.00003,0.95563,0.90188,0.97627,0.78175,0.63755,0.5807,0.94601,0.000561055,0.000561055,0.000561055
27,9343.08,0.60229,0.87694,0.99432,0.9434,0.9339,0.97561,0.82542,0.5347,0.55567,0.92118,0.000539057,0.000539057,0.000539057
28,9619.84,0.60769,0.89951,0.99921,0.97394,0.93994,0.98392,0.81289,0.58479,0.56087,0.93243,0.000517059,0.000517059,0.000517059
29,9892.55,0.62837,0.89355,0.99962,0.95916,0.89115,0.9638,0.79206,0.56836,0.54923,0.92642,0.000495062,0.000495062,0.000495062
30,10184.3,0.62781,0.8992,0.99836,0.9732,0.92901,0.98108,0.83821,0.51647,0.50057,0.90974,0.000473064,0.000473064,0.000473064
31,10473.4,0.60116,0.84901,0.98224,0.94775,0.92012,0.97974,0.84005,0.54543,0.56522,0.93005,0.000451066,0.000451066,0.000451066
32,10784.4,0.61589,0.86091,0.97793,0.93057,0.9361,0.98007,0.82592,0.52587,0.52161,0.90192,0.000429068,0.000429068,0.000429068
33,11087.4,0.58274,0.81608,0.97039,0.94456,0.92196,0.95884,0.79315,0.52322,0.51102,0.90702,0.00040707,0.00040707,0.00040707
34,11371,0.59033,0.807,0.97459,0.91463,0.91601,0.9703,0.81988,0.51696,0.50028,0.91927,0.000385073,0.000385073,0.000385073
35,11650.1,0.54802,0.79477,0.97792,0.9543,0.95382,0.98566,0.82885,0.51451,0.49794,0.92611,0.000363075,0.000363075,0.000363075
36,11991.9,0.54871,0.77771,0.97099,0.97202,0.93065,0.98461,0.84146,0.49321,0.44687,0.90014,0.000341077,0.000341077,0.000341077
37,12384.9,0.5752,0.77643,0.96307,0.94108,0.9506,0.98097,0.8622,0.50074,0.48601,0.91887,0.000319079,0.000319079,0.000319079
38,12718.8,0.55464,0.74968,0.96462,0.98974,0.93955,0.98647,0.85361,0.49724,0.43715,0.90251,0.000297081,0.000297081,0.000297081
39,13053.8,0.56195,0.76394,0.96703,0.96014,0.94155,0.9845,0.84186,0.4844,0.41243,0.89453,0.000275084,0.000275084,0.000275084
40,13358.2,0.54285,0.7285,0.95509,0.98069,0.93391,0.98438,0.84938,0.48954,0.42426,0.89657,0.000253086,0.000253086,0.000253086
41,13629.1,0.55952,0.60807,0.92065,0.97128,0.97169,0.98742,0.83053,0.53166,0.45226,0.90454,0.000231088,0.000231088,0.000231088
42,13920,0.54421,0.59353,0.91676,0.97587,0.96396,0.98685,0.85625,0.47605,0.41519,0.89006,0.00020909,0.00020909,0.00020909
43,14215.3,0.53927,0.5636,0.91261,0.96794,0.97861,0.98387,0.86079,0.45868,0.40053,0.89108,0.000187092,0.000187092,0.000187092
44,14523.4,0.53186,0.55546,0.90944,0.96249,0.98353,0.98069,0.84313,0.4629,0.39052,0.88256,0.000165095,0.000165095,0.000165095
45,14805.8,0.51004,0.52546,0.90713,0.98283,0.97463,0.98346,0.84637,0.45221,0.39219,0.88278,0.000143097,0.000143097,0.000143097
46,15070.6,0.49759,0.50868,0.90277,0.97779,0.96169,0.9845,0.86155,0.44327,0.39285,0.88594,0.000121099,0.000121099,0.000121099
47,15332.8,0.50627,0.51825,0.90527,0.97805,0.98425,0.98629,0.8613,0.43683,0.38787,0.88253,9.91012e-05,9.91012e-05,9.91012e-05
48,15591.6,0.48629,0.50978,0.90243,0.9772,0.98059,0.98409,0.84768,0.44303,0.3778,0.87735,7.71034e-05,7.71034e-05,7.71034e-05
49,15846.3,0.48186,0.4754,0.89444,0.9839,0.9791,0.98471,0.86115,0.43511,0.3686,0.87915,5.51056e-05,5.51056e-05,5.51056e-05
50,16107.1,0.47235,0.46952,0.89563,0.9814,0.98244,0.98489,0.86348,0.43395,0.36861,0.87924,3.31078e-05,3.31078e-05,3.31078e-05
