epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,8817.71,0.3499,0.2204,0.79038,0.99977,1,0.995,0.93071,0.41678,0.21354,0.80764,0.0014324,0.0014324,0.0014324
45,9015.52,0.33873,0.22329,0.78901,0.99973,1,0.995,0.92046,0.42158,0.18858,0.80809,0.0014192,0.0014192,0.0014192
46,9214.85,0.33218,0.20948,0.78721,0.99964,1,0.995,0.95032,0.39252,0.18713,0.80787,0.001406,0.001406,0.001406
47,9413.13,0.33079,0.21185,0.78642,0.99978,1,0.995,0.91294,0.42263,0.20306,0.80897,0.0013928,0.0013928,0.0013928
48,9613.09,0.34052,0.21433,0.79162,0.99967,1,0.995,0.93584,0.35331,0.17954,0.80479,0.0013796,0.0013796,0.0013796
49,9810.04,0.34193,0.21357,0.78794,0.99961,1,0.995,0.94326,0.37038,0.18946,0.80883,0.0013664,0.0013664,0.0013664
50,10011,0.34272,0.22055,0.78665,0.99975,1,0.995,0.92955,0.4215,0.22354,0.8088,0.0013532,0.0013532,0.0013532
51,10212.8,0.33167,0.21072,0.79243,0.99973,1,0.995,0.92685,0.3976,0.18326,0.8062,0.00134,0.00134,0.00134
52,10411.9,0.35506,0.21898,0.78966,0.99967,1,0.995,0.92656,0.39436,0.21345,0.80821,0.0013268,0.0013268,0.0013268
53,10611.9,0.33241,0.21165,0.79141,0.99974,1,0.995,0.95613,0.357,0.20156,0.8059,0.0013136,0.0013136,0.0013136
54,10810.7,0.33547,0.21632,0.78751,0.9997,1,0.995,0.92811,0.3972,0.17964,0.80707,0.0013004,0.0013004,0.0013004
55,11008.6,0.32392,0.20851,0.78805,0.99965,1,0.995,0.91285,0.41567,0.19651,0.81058,0.0012872,0.0012872,0.0012872
56,11207.2,0.31615,0.20178,0.78826,0.99977,1,0.995,0.95886,0.34761,0.16416,0.80471,0.001274,0.001274,0.001274
57,11404.7,0.32002,0.20433,0.78667,0.99977,1,0.995,0.93076,0.40252,0.18074,0.8089,0.0012608,0.0012608,0.0012608
58,11601.6,0.31872,0.20396,0.79285,0.99973,1,0.995,0.91168,0.44704,0.21888,0.80977,0.0012476,0.0012476,0.0012476
59,11803.5,0.32473,0.20549,0.78672,0.99969,1,0.995,0.93198,0.4093,0.19667,0.80752,0.0012344,0.0012344,0.0012344
60,12002.3,0.31648,0.20031,0.7914,0.99976,1,0.995,0.94387,0.37128,0.17418,0.80728,0.0012212,0.0012212,0.0012212
61,12204.7,0.32804,0.20412,0.78829,0.99975,1,0.995,0.92499,0.40435,0.18196,0.80566,0.001208,0.001208,0.001208
62,12402.1,0.30621,0.19759,0.78417,0.99978,1,0.995,0.95617,0.35633,0.19401,0.80459,0.0011948,0.0011948,0.0011948
63,12620.8,0.30586,0.19462,0.78645,0.99977,1,0.995,0.92106,0.39833,0.18021,0.80707,0.0011816,0.0011816,0.0011816
64,12834,0.31596,0.19731,0.78756,0.99971,1,0.995,0.92233,0.38387,0.18228,0.80404,0.0011684,0.0011684,0.0011684
65,13039.2,0.31198,0.19584,0.79149,0.99973,1,0.995,0.94858,0.37977,0.18494,0.80853,0.0011552,0.0011552,0.0011552
66,13236.9,0.312,0.19705,0.78755,0.99973,1,0.995,0.9329,0.36389,0.18899,0.80408,0.001142,0.001142,0.001142
67,13433.5,0.30184,0.19173,0.78556,0.99969,1,0.995,0.93387,0.38442,0.20367,0.80587,0.0011288,0.0011288,0.0011288
68,13631.9,0.31206,0.1965,0.78509,0.99968,1,0.995,0.92768,0.38775,0.19475,0.80875,0.0011156,0.0011156,0.0011156
69,13833.7,0.2975,0.18929,0.78698,0.99972,1,0.995,0.92797,0.36594,0.18439,0.8052,0.0011024,0.0011024,0.0011024
70,14030.7,0.3019,0.18987,0.78434,0.99966,1,0.995,0.93977,0.37459,0.16562,0.80634,0.0010892,0.0010892,0.0010892
71,14235.1,0.29784,0.18722,0.78602,0.99971,1,0.995,0.93291,0.37432,0.18612,0.80414,0.001076,0.001076,0.001076
72,14434.6,0.31494,0.19778,0.78529,0.99976,1,0.995,0.91629,0.42663,0.18205,0.80911,0.0010628,0.0010628,0.0010628
73,14632.6,0.30699,0.18983,0.78582,0.99978,1,0.995,0.93765,0.40089,0.16592,0.80718,0.0010496,0.0010496,0.0010496
74,14837.1,0.30033,0.19068,0.78451,0.99969,1,0.995,0.92696,0.38037,0.18379,0.80648,0.0010364,0.0010364,0.0010364
75,15037.3,0.29888,0.18932,0.79095,0.99978,1,0.995,0.95018,0.36773,0.17641,0.80646,0.0010232,0.0010232,0.0010232
76,15239.8,0.29171,0.18382,0.7834,0.99978,1,0.995,0.92755,0.37672,0.1674,0.80503,0.00101,0.00101,0.00101
77,15440.9,0.30252,0.18278,0.78242,0.99974,1,0.995,0.94135,0.38089,0.17716,0.80446,0.0009968,0.0009968,0.0009968
78,15641.3,0.30054,0.18538,0.78778,0.99972,1,0.995,0.93927,0.37745,0.1774,0.8047,0.0009836,0.0009836,0.0009836
79,15850.9,0.29438,0.18128,0.785,0.99976,1,0.995,0.93006,0.37368,0.15687,0.8058,0.0009704,0.0009704,0.0009704
80,16060.1,0.28989,0.18103,0.78406,0.99977,1,0.995,0.95289,0.36427,0.1837,0.80457,0.0009572,0.0009572,0.0009572
81,16264.6,0.29215,0.18123,0.78291,0.99977,1,0.995,0.93091,0.40561,0.17219,0.80829,0.000944,0.000944,0.000944
82,16472.5,0.28612,0.17839,0.78414,0.99977,1,0.995,0.91477,0.43251,0.17917,0.80731,0.0009308,0.0009308,0.0009308
